year,month,date,interest
2003,6,25,1
2004,6,30,1.25
2004,8,10,1.5
2004,9,21,1.75
2004,11,10,2
2004,12,14,2.25
2005,2,2,2.5
2005,3,22,2.75
2005,5,3,3
2005,6,30,3.25
2005,8,9,3.5
2005,9,20,3.75
2005,11,1,4
2005,12,13,4.25
2006,1,31,4.5
2006,3,28,4.75
2006,5,10,5
2006,6,29,5.25
2007,9,18,4.75
2007,10,31,4.5
2007,12,11,4.25
2008,1,22,3.5
2008,1,30,3
2008,3,18,2.25
2008,4,30,2
2008,10,8,1.5
2008,10,29,1
2008,12,16,0
2015,12,17,0.25
2016,12,15,0.5
2017,3,16,0.75
2017,6,15,1
2017,12,14,1.25
2018,3,22,1.5
2018,6,14,1.75
2018,9,27,2
2018,12,20,2.25
2019,8,1,2
2019,9,19,1.75
2019,10,31,1.5
2020,3,3,1
2020,3,16,0
2022,3,17,0.25
2022,5,5,0.75
